payment_id,order_id,payment_method,payment_date,amount
1,1,PayPal,2025-07-25 19:59:02,1725.48
2,2,Bank Transfer,2024-12-21 19:00:13,2961.73
3,3,Cash,2026-02-26 02:13:51,620.0
4,4,Credit Card,2025-02-24 14:42:32,246.86
5,5,Bank Transfer,2025-11-06 18:02:23,3827.46
6,6,Cash,2025-08-12 03:39:47,3309.93
7,7,Credit Card,2025-04-11 02:48:34,2794.33
8,8,Bank Transfer,2024-08-26 12:49:43,3458.7
9,9,Cash,2024-10-05 17:51:12,288.65
10,10,Credit Card,2026-03-08 22:11:17,445.12
11,11,PayPal,2026-05-01 19:47:14,3401.94
12,12,Credit Card,2025-01-20 13:33:42,2906.28
13,13,PayPal,2025-06-25 11:05:01,3281.93
14,14,Bank Transfer,2025-04-03 05:59:07,1836.6
15,15,PayPal,2025-05-30 19:25:20,325.53
16,16,Bank Transfer,2025-05-11 02:48:57,3464.51
17,17,PayPal,2024-11-20 12:00:51,807.1
18,18,Credit Card,2026-04-20 12:49:35,1227.63
19,19,Cash,2025-01-30 12:15:46,2203.79
20,20,Cash,2025-12-30 22:33:07,1996.82
21,21,PayPal,2025-07-15 08:40:22,980.78
22,22,Credit Card,2025-12-05 22:41:38,3537.57
23,23,Cash,2025-03-27 06:50:28,2652.84
24,24,Credit Card,2024-11-22 18:33:55,803.69
25,25,Cash,2026-01-26 02:39:06,892.3
26,26,Cash,2025-03-13 19:01:20,3555.4
27,27,Credit Card,2025-09-29 06:08:01,602.6
28,28,Credit Card,2026-01-18 08:14:21,629.57
29,29,PayPal,2025-08-04 22:56:47,616.36
30,30,Bank Transfer,2025-01-12 18:54:38,664.03
31,31,Bank Transfer,2025-03-25 07:32:54,1014.09
32,32,Credit Card,2025-11-05 11:41:12,1570.24
33,33,PayPal,2026-01-15 21:04:35,717.08
34,34,Credit Card,2024-12-09 00:17:09,3278.1
35,35,Bank Transfer,2025-11-25 07:47:33,2336.7
36,36,Cash,2025-03-03 18:35:42,3732.39
37,37,PayPal,2026-03-15 20:50:54,1074.24
38,38,Credit Card,2025-06-07 10:13:40,389.95
39,39,PayPal,2024-10-31 18:45:49,3318.75
40,40,Bank Transfer,2025-01-19 04:31:01,1361.67
41,41,PayPal,2024-11-12 06:15:19,1359.42
42,42,Credit Card,2026-06-05 09:15:47,447.36
43,43,Credit Card,2026-03-17 17:51:43,3246.81
44,44,Credit Card,2025-01-20 20:52:48,168.74
45,45,Bank Transfer,2024-08-27 00:16:31,316.74
46,46,Cash,2024-08-20 03:37:56,1571.47
47,47,Cash,2025-12-13 21:53:01,1485.58
48,48,PayPal,2025-04-13 12:21:49,980.46
49,49,Bank Transfer,2025-10-23 11:00:25,1636.84
50,50,PayPal,2025-05-10 08:14:59,1173.26
51,51,Bank Transfer,2026-07-24 15:03:05,1508.04
52,52,PayPal,2026-01-07 20:37:13,1077.23
53,53,Credit Card,2025-04-21 18:23:51,1125.99
54,54,Bank Transfer,2024-08-23 00:11:44,641.55
55,55,Cash,2026-05-23 00:27:31,2311.52
56,56,Credit Card,2025-03-07 19:04:33,1779.63
57,57,Bank Transfer,2026-07-25 10:23:15,547.18
58,58,PayPal,2026-05-25 10:47:09,2355.17
59,59,Bank Transfer,2024-10-11 20:39:16,2997.23
